Year,Vehicle_ID,KM_Driven
2024,V074,32703
2024,V075,13989
2024,V076,30040
2024,V077,12001
2024,V078,34595
2024,V079,32556
2024,V080,15538
2024,V081,30019
2024,V082,36648
2024,V083,24675
2024,V084,28789
2024,V085,21742
2024,V086,27147
2024,V087,32625
2024,V088,33437
2024,V089,39951
2024,V090,31288
2024,V091,14442
2024,V092,23666
2024,V093,27530
2024,V094,36028
2024,V095,34281
2024,V096,34445
2024,V097,33017
2024,V098,15148
2024,V099,22750
2024,V100,31488
2025,V001,37493
2025,V002,15764
2025,V003,38976
2025,V004,24308
2025,V005,31251
2025,V006,31862
2025,V007,28248
2025,V008,25178
2025,V009,23422
2025,V010,25776
2025,V011,14925
2025,V012,12578
2025,V013,37836
2025,V014,12352
2025,V015,28576
2025,V016,34891
2025,V017,27165
2025,V018,15609
2025,V019,25369
2025,V020,22159
2025,V021,12948
2025,V022,38109
2025,V023,25965
2025,V024,24388
2025,V025,30233
2025,V026,13662
2025,V027,13136
2025,V028,39549
2025,V029,35241
2025,V030,18179
2025,V031,39634
2025,V032,25751
2025,V033,29774
2025,V034,12901
2025,V035,32673
2025,V036,32600
2025,V037,15009
2025,V038,19421
2025,V039,25488
2025,V040,29901
2025,V041,16656
2025,V042,31101
2025,V043,39076
2025,V044,18544
2025,V045,28974
2025,V046,17579
2025,V047,14584
2025,V048,31379
2025,V049,38756
2025,V050,24400
2025,V051,19110
2025,V052,30126
2025,V053,39222
2025,V054,26006
2025,V055,17212
2025,V056,21540
2025,V057,19888
2025,V058,20981
2025,V059,17475
2025,V060,16001
2025,V061,34727
2025,V062,30234
2025,V063,26524
2025,V064,22864
2025,V065,29666
2025,V066,12380
2025,V067,23823
2025,V068,34251
2025,V069,36109
2025,V070,36962
2025,V071,29801
2025,V072,24628
2025,V073,15261
2025,V074,30405
2025,V075,29020
2025,V076,17284
2025,V077,24413
2025,V078,39490
2025,V079,12407
2025,V080,17952
2025,V081,13461
2025,V082,22447
2025,V083,27147
2025,V084,34136
2025,V085,12761
2025,V086,22563
2025,V087,13633
2025,V088,37728
2025,V089,20264
2025,V090,21480
2025,V091,17279
2025,V092,17690
2025,V093,36658
2025,V094,21242
2025,V095,39237
2025,V096,30472
2025,V097,13995
2025,V098,26899
2025,V099,29019
2025,V100,15497
